NO,ID,MESSAGE,COMMENT,END
int,int,string,string,END
-1,Er:数字;,エラーメッセージ,%数字%の説明,END
0,1,『ツール設定ファイル』が見つかりません。\n\nヒント\n　・ファイルが存在しない？\n　・『ツール設定ファイル』を、決まった場所「%1%」に置いていない？\n　・ファイル名が間違っている？\n\n%2%,%1%…Aa_Tool.xmlのファイルパスが入る。%2%…Exceptionメッセージが入る。,END
1,501,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
2,502,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
3,503,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
4,504,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
5,505,指定のフィールド[%1%]は、テーブル[%2%]にありませんでした。\n\n%3%%4%,%1%…キー・フィールド名が入る。%2%…テーブル名が入る。%3%…キー・フィールド名の設定位置パンくずリストが入る。%4%…テーブル名の設定位置パンくずリストが入る。,END
6,506,プログラミング_ミス。未定義のEnum値[%1%]。,%1%…未定義のEnum値が入る。,END
7,507,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
8,508,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
9,509,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
10,510,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
11,511,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
12,512,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
13,513,コントロール=[%1%]には、NDataTarget が設定されていませんでした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
14,514,指定のコントロールがヌルでした。,%1%…コントロール名が入る。,END
15,515,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\nrEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…設定位置パンくずリストが入る。,END
16,516,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…設定位置パンくずリストが入る。,END
17,517,リストボックスのフィールド名指定ミス。\nLIST_VALUE_FLD=[%1%]\n\n%2%,%1%…リストボックスのフィールド名が入る。%2%…例外メッセージが入る。,END
18,518,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\nrEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。,END
19,519,チェックボックス[%1%]の\nレイアウト設定のCHK_VALUE_TYPEフィールドに、\n未対応の値[%2%]が入っていました。\n%3%,%1%…コントロール名が入る。%2%…CHK_VALUE_TYPEフィールド値が入る。%3%…設定位置パンくずリストが入る。,END
20,520,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
21,521,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
22,522,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
23,523,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
24,524,タブペーンに、パネル以外の子コントロールを追加しようとしないでください。\n\n[%1%]に、[%2%]を　追加しようとしました。,%1%…タブペーン・コントロール名が入る。%2%…追加しようとしたコントロール名が入る。,END
25,525,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
26,526,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
27,527,例外の型：%1%\n\n例外メッセージ：%2%\nerr_Type_Controlの型名=[%3%]\nthis.eventHandlerList_Controlの型名=[%4%],%1%…例外の型名が入る。%2%…例外メッセージが入る。%3%…コントロールの型名が入る。%4%…イベントハンドラーリストの型名が入る。,END
28,528,例外の型：%1%\n\n例外メッセージ：\n%2%,%1%…例外の型名が入る。%2%…例外メッセージが入る。,END
29,529,例外の型：%1%\n\n例外メッセージ：%2%\nfi_Handler=[%3%]\nerr_Dele=[%4%]\nfi_Key=[%5%]\nerr_Key=[%6%]\nfi_Next=[%7%]\nerr_Next=[%8%],%1%…例外の型名。%2%…例外メッセージ。%3%… fi_Handlerの型名。%4%…err_Deleの型名。%5%…fi_Keyの型名。%6%…err_Keyの型名。%7%…nextFIの型名。%8%…err_Nextの型名。,END
30,530,例外の型：%1%\n\n例外メッセージ：%2%,%1%…例外の型名。%2%…例外メッセージ。,END
31,531,例外の型：%1%\n\n例外メッセージ：%2%,%1%…例外の型名。%2%…例外メッセージ。,END
32,532,"""「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\noEvent.Name=[%2%]には対応できません。\n\n%3%""",%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
33,533,「コントロール設定ファイル」の記述エラーか、プログラムの未実装です。\n[%1%]クラスは、\n指定されたイベントの名前\nrEvent.Name=[%2%]には対応できません。\n\n%3%,%1%…クラス名が入る。%2%…イベント名が入る。%3%…位置パンくずリストが入る。,END
34,534,＜ａ－ｄｉｓｐｌａｙ＞の未対応のtype属性です。\nコントロールの型名＝[%1%],%1%…コントロールの型名。,END
35,535,描画失敗。詳細不明。\ndisplayText＝[%1%]\ne.Font＝[%2%]\nforeBrush＝[%3%]\ne.Bounds＝[%4%]\n%5%,%1%…表示テキスト。%2%…フォント名。%3%…前景ブラシ名。%4%…矩形位置とサイズ。%5%…例外メッセージ。,END
36,536,コントロール=[%1%]のUpdateDataをしようとしましたが、CcTabControl#UpdateDataは　未実装でした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
37,537,コントロール=[%1%]のUpdateDataをしようとしましたが、CcTabControl#UpdateDataは　未実装でした。\nプログラミングのミスの可能性があります。,%1%…コントロール名が入る。,END
38,538,ボタン が、UpdateData（データ編集）しようとしましたが、\nボタン は、UpdateDataしてはいけません。,なし,END
39,539,"false,true値に変換できませんでした。[%1%]\n%2%",%1%…値が入る。%2%…設定位置パンくずリストが入る。,END
40,540,"0,1値が欲しいところに、[%1%]が入っていました。\n%2%",%1%…値が入る。%2%…設定位置パンくずリストが入る。,END
41,541,"0,1値に変換できませんでした。\n%1%",%1%…設定位置パンくずリストが入る。,END
42,542,プログラミング_ミス。未定義のEnum値。\n%1%,%1%…設定位置パンくずリストが入る。,END
43,6001,指定のフィールドはありませんでした。\nフィールド名=[%1%],%1%…フィールド名が入る。,END
44,6002,指定のフィールドの型が異なりました。\nフィールド名=[%1%]\nフィールドの型名=[%2%],%1%…フィールド名が入る。%2%…フィールドの型名が入る。,END
45,6003,指定のフィールドはありませんでした。\nフィールド名=[%1%],%1%…フィールド名が入る。,END
46,6004,指定のフィールドの型が異なりました。\nフィールド名=[%1%]\nフィールドの型名=[%2%],%1%…フィールド名が入る。%2%…フィールドの型名が入る。,END
47,6005,指定のフィールドはありませんでした。\nフィールド名=[%1%],%1%…フィールド名が入る。,END
48,6006,指定のフィールドの型が異なりました。\nフィールド名=[%1%]\nフィールドの型名=[%2%],%1%…フィールド名が入る。%2%…フィールドの型名が入る。,END
49,6007,指定のフィールドはありませんでした。\nフィールド名=[%1%],%1%…フィールド名が入る。,END
50,6008,指定のフィールドの型が異なりました。\nフィールド名=[%1%]\nフィールドの型名=[%2%],%1%…フィールド名が入る。%2%…フィールドの型名が入る。,END
51,6009,・もしかして？　無い変数名を指定したのかも知れません。\n\n%1%,%1%…設定位置パンくずリストが入る。,END
52,6010,テーブル名が指定されていません。\n\n%1%,%1%…設定位置パンくずリストが入る。,END
